,Cost,interations
0,18,0
1,17,1
2,19,2
3,18,3
4,18,4
5,18,5
6,18,6
7,17,7
8,17,8
9,17,9
10,17,10
11,16,11
12,16,12
13,16,13
14,16,14
15,15,15
16,15,16
17,14,17
18,18,18
19,13,19
20,17,20
21,16,21
22,16,22
23,17,23
24,16,24
25,16,25
26,16,26
27,15,27
28,16,28
29,16,29
30,15,30
31,14,31
32,14,32
33,13,33
34,12,34
35,11,35
36,18,36
37,15,37
38,14,38
39,19,39
40,12,40
41,14,41
42,13,42
43,18,43
44,11,44
45,12,45
46,17,46
47,10,47
48,16,48
49,12,49
50,9,50
51,15,51
52,15,52
53,11,53
54,8,54
55,14,55
56,14,56
57,10,57
58,7,58
59,13,59
60,13,60
61,19,61
62,13,62
63,12,63
64,16,64
65,17,65
66,17,66
67,13,67
68,12,68
69,11,69
70,15,70
71,16,71
72,16,72
73,13,73
74,11,74
75,12,75
76,10,76
77,14,77
78,14,78
79,13,79
80,17,80
81,12,81
82,16,82
83,16,83
84,14,84
85,15,85
86,15,86
87,13,87
88,14,88
89,14,89
90,14,90
91,16,91
92,12,92
93,15,93
94,15,94
95,15,95
96,11,96
97,11,97
98,14,98
99,14,99
100,14,100
101,14,101
102,10,102
103,10,103
104,10,104
105,13,105
106,9,106
107,9,107
108,15,108
109,15,109
110,17,110
111,14,111
112,16,112
113,12,113
114,8,114
115,18,115
116,16,116
117,12,117
118,12,118
119,7,119
120,17,120
121,17,121
122,16,122
123,6,123
124,16,124
125,16,125
126,15,126
127,15,127
128,15,128
129,15,129
130,15,130
131,14,131
132,14,132
133,14,133
134,14,134
135,14,135
136,14,136
137,14,137
138,13,138
139,13,139
140,13,140
141,11,141
142,12,142
143,12,143
144,12,144
145,10,145
146,11,146
147,11,147
148,11,148
149,9,149
150,10,150
151,10,151
152,10,152
153,8,153
154,9,154
155,9,155
156,9,156
157,10,157
158,8,158
159,8,159
160,7,160
161,8,161
162,6,162
163,8,163
164,9,164
165,9,165
166,8,166
167,8,167
168,13,168
169,7,169
170,12,170
171,6,171
172,6,172
173,14,173
174,15,174
175,16,175
176,14,176
177,15,177
178,17,178
179,14,179
180,16,180
181,16,181
182,13,182
183,15,183
184,15,184
185,15,185
186,12,186
187,14,187
188,14,188
189,14,189
190,11,190
191,13,191
192,13,192
193,10,193
194,12,194
195,14,195
196,11,196
197,8,197
198,10,198
199,12,199
200,9,200
201,11,201
202,8,202
203,8,203
204,10,204
205,10,205
206,7,206
207,9,207
208,6,208
209,13,209
210,16,210
211,11,211
212,14,212
213,8,213
214,10,214
215,7,215
216,12,216
217,15,217
218,10,218
219,15,219
220,6,220
221,13,221
222,14,222
223,14,223
224,9,224
225,12,225
226,12,226
227,16,227
228,12,228
229,13,229
230,9,230
231,13,231
232,11,232
233,10,233
234,11,234
235,12,235
236,12,236
237,8,237
238,12,238
239,10,239
240,14,240
241,14,241
242,18,242
243,17,243
244,19,244
245,15,245
246,13,246
247,8,247
248,11,248
249,19,249
250,17,250
251,14,251
252,12,252
253,10,253
254,16,254
255,20,255
256,20,256
257,15,257
258,10,258
259,12,259
260,11,260
261,14,261
262,19,262
263,19,263
264,14,264
265,15,265
266,16,266
267,11,267
268,13,268
269,18,269
270,18,270
271,13,271
272,14,272
273,14,273
274,10,274
275,12,275
276,17,276
277,12,277
278,12,278
279,17,279
280,13,280
281,13,281
282,16,282
283,11,283
284,14,284
285,14,285
286,16,286
287,16,287
288,12,288
289,13,289
290,13,290
291,12,291
292,18,292
293,8,293
294,9,294
295,16,295
296,11,296
297,12,297
298,11,298
299,11,299
300,16,300
301,8,301
302,8,302
303,15,303
304,10,304
305,15,305
306,15,306
307,14,307
308,15,308
309,10,309
310,14,310
311,9,311
312,16,312
313,9,313
314,14,314
315,14,315
316,11,316
317,14,317
318,15,318
319,15,319
320,15,320
321,10,321
322,8,322
323,14,323
324,14,324
325,14,325
326,9,326
327,7,327
328,13,328
329,8,329
330,6,330
331,12,331
332,11,332
333,11,333
334,10,334
335,10,335
336,10,336
337,9,337
338,9,338
339,8,339
340,8,340
341,8,341
342,7,342
343,7,343
344,6,344
345,9,345
346,5,346
347,8,347
348,4,348
349,9,349
350,7,350
351,8,351
352,6,352
353,9,353
354,5,354
355,8,355
356,4,356
357,7,357
358,10,358
359,6,359
360,6,360
361,10,361
362,5,362
363,9,363
364,4,364
365,4,365
366,8,366
367,10,367
368,7,368
369,17,369
370,6,370
371,16,371
372,11,372
373,10,373
374,10,374
375,15,375
376,10,376
377,14,377
378,14,378
379,9,379
380,13,380
381,13,381
382,8,382
383,15,383
384,7,384
385,14,385
386,6,386
387,10,387
388,5,388
389,9,389
390,9,390
391,14,391
392,8,392
393,8,393
394,12,394
395,7,395
396,11,396
397,6,397
398,11,398
399,5,399
400,10,400
401,12,401
402,12,402
403,15,403
404,10,404
405,13,405
406,13,406
407,14,407
408,10,408
409,12,409
410,11,410
411,14,411
412,9,412
413,12,413
414,13,414
