,Problem,Explored,Time
0,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",0,7.690116763114929e-05
1,"[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",1,0.0004919096827507019
2,"[[1, 2, 3], [4, 0, 5], [7, 8, 6]]",2,0.0010291561484336853
3,"[[1, 0, 3], [4, 2, 5], [7, 8, 6]]",3,0.0010934099555015564
4,"[[1, 5, 2], [4, 0, 3], [7, 8, 6]]",4,0.001161482185125351
5,"[[1, 5, 2], [0, 4, 3], [7, 8, 6]]",5,0.0013621710240840912
6,"[[1, 5, 2], [4, 8, 3], [7, 6, 0]]",6,0.002172328531742096
7,"[[1, 5, 2], [4, 8, 0], [7, 6, 3]]",7,0.003789640963077545
8,"[[0, 5, 2], [1, 8, 3], [4, 7, 6]]",8,0.0016941949725151062
9,"[[1, 0, 2], [8, 5, 3], [4, 7, 6]]",9,0.00663844496011734
10,"[[5, 8, 2], [1, 0, 3], [4, 7, 6]]",10,0.003868304193019867
11,"[[5, 8, 2], [1, 7, 3], [4, 0, 6]]",11,0.00597478449344635
12,"[[5, 8, 2], [1, 7, 3], [0, 4, 6]]",12,0.014255668967962265
13,"[[5, 8, 2], [0, 7, 3], [1, 4, 6]]",13,0.018560033291578293
14,"[[5, 8, 2], [7, 0, 3], [1, 4, 6]]",14,0.031091812998056412
15,"[[8, 0, 2], [5, 7, 3], [1, 4, 6]]",15,0.034475844353437424
16,"[[8, 7, 2], [5, 0, 3], [1, 4, 6]]",16,0.06722137704491615
17,"[[5, 0, 8], [7, 3, 2], [1, 4, 6]]",17,0.08805283531546593
18,"[[8, 7, 2], [5, 4, 3], [1, 6, 0]]",18,0.08928164094686508
19,"[[8, 0, 7], [5, 3, 2], [1, 4, 6]]",19,0.2377048060297966
20,"[[8, 7, 0], [5, 4, 2], [1, 6, 3]]",20,0.3146606758236885
21,"[[8, 0, 7], [5, 4, 2], [1, 6, 3]]",21,0.5253372304141521
22,"[[0, 8, 7], [5, 4, 2], [1, 6, 3]]",22,0.7552625462412834
23,"[[8, 4, 7], [5, 6, 2], [1, 0, 3]]",23,1.2251742780208588
24,"[[8, 4, 7], [5, 6, 2], [1, 3, 0]]",24,1.8655079640448093
25,"[[8, 4, 7], [5, 6, 0], [1, 3, 2]]",25,3.374860692769289
26,"[[0, 4, 7], [8, 6, 2], [5, 1, 3]]",26,3.2894593961536884
27,"[[8, 0, 7], [5, 4, 6], [1, 3, 2]]",27,6.782443650066853
28,"[[8, 4, 7], [6, 2, 3], [5, 1, 0]]",28,8.325212251394987
29,"[[8, 0, 6], [5, 7, 3], [1, 2, 4]]",29,11.133137673139572
30,"[[0, 8, 7], [5, 6, 4], [1, 2, 3]]",30,13.37027096748352
31,"[[8, 6, 7], [2, 5, 4], [3, 0, 1]]",31,16.10334113240242
