,Cost,interations
0,8,1
1,8,2
2,8,3
3,7,4
4,8,5
5,7,6
6,8,7
7,8,8
8,6,9
9,8,10
10,8,11
11,7,12
12,7,13
13,8,14
14,7,15
15,8,16
16,8,17
17,5,18
18,6,19
19,8,20
20,8,21
21,7,22
22,7,23
23,8,24
24,7,25
25,8,26
26,8,27
27,8,28
28,8,29
29,5,30
30,7,31
31,6,32
32,5,33
33,8,34
34,7,35
35,8,36
36,8,37
37,8,38
38,6,39
39,8,40
40,7,41
41,8,42
42,8,43
43,7,44
44,7,45
45,8,46
46,8,47
47,8,48
48,7,49
49,8,50
50,8,51
51,8,52
52,7,53
53,5,54
54,5,55
55,7,56
56,8,57
57,6,58
58,6,59
59,5,60
60,5,61
61,8,62
62,7,63
63,7,64
64,7,65
65,8,66
66,8,67
67,8,68
68,7,69
69,8,70
70,8,71
71,8,72
72,5,73
73,8,74
74,8,75
75,8,76
76,7,77
77,8,78
78,7,79
79,8,80
80,8,81
81,7,82
82,6,83
83,8,84
84,7,85
85,8,86
86,8,87
87,8,88
88,8,89
89,6,90
90,7,91
91,8,92
92,8,93
93,7,94
94,6,95
95,4,96
96,6,97
97,5,98
98,7,99
99,6,100
100,6,101
101,6,102
102,5,103
103,8,104
104,7,105
105,7,106
106,6,107
107,7,108
108,7,109
109,7,110
110,6,111
111,8,112
112,8,113
113,8,114
114,7,115
115,8,116
116,8,117
117,7,118
118,7,119
119,8,120
120,8,121
121,8,122
122,8,123
123,7,124
124,4,125
125,6,126
126,8,127
127,7,128
128,8,129
129,8,130
130,7,131
131,7,132
132,8,133
133,8,134
134,8,135
135,7,136
136,7,137
137,7,138
138,8,139
139,8,140
140,7,141
141,6,142
142,6,143
143,6,144
144,8,145
145,7,146
146,7,147
147,8,148
148,7,149
149,8,150
150,7,151
151,8,152
152,7,153
153,8,154
154,8,155
155,5,156
156,6,157
157,7,158
158,6,159
159,8,160
160,8,161
161,8,162
162,8,163
163,7,164
164,7,165
165,6,166
166,7,167
167,4,168
168,4,169
169,7,170
170,6,171
171,5,172
172,5,173
173,7,174
174,7,175
175,6,176
176,5,177
177,7,178
178,6,179
179,7,180
180,7,181
181,6,182
182,5,183
183,8,184
184,8,185
185,8,186
186,6,187
187,8,188
188,5,189
189,7,190
190,7,191
191,6,192
192,8,193
193,7,194
194,8,195
195,8,196
196,8,197
197,7,198
198,8,199
199,7,200
200,7,201
201,8,202
202,8,203
203,8,204
204,8,205
205,7,206
206,4,207
207,7,208
208,6,209
209,6,210
210,7,211
211,6,212
212,8,213
213,8,214
214,7,215
215,7,216
216,8,217
217,8,218
218,8,219
219,8,220
220,8,221
221,7,222
222,7,223
223,7,224
224,8,225
225,8,226
226,8,227
227,8,228
228,7,229
229,7,230
230,6,231
231,6,232
232,8,233
233,7,234
234,7,235
235,7,236
236,8,237
237,7,238
238,6,239
239,8,240
240,6,241
241,8,242
242,7,243
243,8,244
244,8,245
245,8,246
246,8,247
247,5,248
248,7,249
249,6,250
250,6,251
251,7,252
252,6,253
253,6,254
254,8,255
255,8,256
256,8,257
257,8,258
258,8,259
259,8,260
260,8,261
261,7,262
262,8,263
263,6,264
264,6,265
265,8,266
266,5,267
267,3,268
268,8,269
269,6,270
270,6,271
271,6,272
272,5,273
273,6,274
274,7,275
275,7,276
276,7,277
277,7,278
278,7,279
279,6,280
280,5,281
281,8,282
282,7,283
283,5,284
284,7,285
285,7,286
286,7,287
287,7,288
288,7,289
289,6,290
290,5,291
291,8,292
292,8,293
293,8,294
294,8,295
295,8,296
296,7,297
297,5,298
298,6,299
299,8,300
300,8,301
301,4,302
302,7,303
303,7,304
304,7,305
305,7,306
306,6,307
307,6,308
308,8,309
309,8,310
310,7,311
311,7,312
312,8,313
313,8,314
314,8,315
315,7,316
316,8,317
317,7,318
318,7,319
319,8,320
320,8,321
321,8,322
322,6,323
323,8,324
324,7,325
325,8,326
326,7,327
327,8,328
328,7,329
329,8,330
330,8,331
331,8,332
332,7,333
333,7,334
334,5,335
335,4,336
336,7,337
337,8,338
338,6,339
339,6,340
340,6,341
341,6,342
342,6,343
343,7,344
344,5,345
345,8,346
346,7,347
347,8,348
348,8,349
349,7,350
350,7,351
351,8,352
352,7,353
353,8,354
354,7,355
355,8,356
356,8,357
357,8,358
358,7,359
359,8,360
360,8,361
361,8,362
362,8,363
363,7,364
364,7,365
365,7,366
366,7,367
367,8,368
368,8,369
369,8,370
370,8,371
371,8,372
372,8,373
373,8,374
374,7,375
375,7,376
376,7,377
377,7,378
378,5,379
379,7,380
380,6,381
381,8,382
382,8,383
383,7,384
384,6,385
385,7,386
386,6,387
387,7,388
388,7,389
389,8,390
390,8,391
391,6,392
392,7,393
393,5,394
394,6,395
395,8,396
396,7,397
397,6,398
398,8,399
399,8,400
400,7,401
401,7,402
402,8,403
403,8,404
404,8,405
405,7,406
406,8,407
407,8,408
408,8,409
409,7,410
410,4,411
411,5,412
412,7,413
413,8,414
414,6,415
415,6,416
416,6,417
417,6,418
418,7,419
419,6,420
420,6,421
421,5,422
422,6,423
423,5,424
424,8,425
425,8,426
426,8,427
427,7,428
428,8,429
429,8,430
430,8,431
431,8,432
432,8,433
433,8,434
434,7,435
435,8,436
436,8,437
437,7,438
438,6,439
439,8,440
440,6,441
441,6,442
442,6,443
443,6,444
444,8,445
445,8,446
446,6,447
447,6,448
448,4,449
449,3,450
450,8,451
451,8,452
452,6,453
453,6,454
454,7,455
455,6,456
456,7,457
457,5,458
458,5,459
459,7,460
460,6,461
461,7,462
462,7,463
463,7,464
464,8,465
465,7,466
466,7,467
467,8,468
468,6,469
469,7,470
470,8,471
471,6,472
472,7,473
473,5,474
474,5,475
475,8,476
476,8,477
477,7,478
478,8,479
479,5,480
480,5,481
481,7,482
482,7,483
483,7,484
484,8,485
485,6,486
486,6,487
487,8,488
488,7,489
489,8,490
490,6,491
491,6,492
492,6,493
493,8,494
494,8,495
495,8,496
496,8,497
497,8,498
498,7,499
499,5,500
500,7,501
501,6,502
502,6,503
503,8,504
504,8,505
505,8,506
506,4,507
507,7,508
508,7,509
509,7,510
510,8,511
511,7,512
512,7,513
513,8,514
514,6,515
515,7,516
516,7,517
517,7,518
518,8,519
519,8,520
520,7,521
521,7,522
522,8,523
523,8,524
524,8,525
525,7,526
526,7,527
527,7,528
528,8,529
529,7,530
530,7,531
531,6,532
532,8,533
533,8,534
534,8,535
535,8,536
536,8,537
537,8,538
538,6,539
539,8,540
540,8,541
541,8,542
542,7,543
543,8,544
544,6,545
545,7,546
546,7,547
547,8,548
548,6,549
549,7,550
550,7,551
551,8,552
552,8,553
553,8,554
554,8,555
555,8,556
556,7,557
557,8,558
558,7,559
559,6,560
560,5,561
561,6,562
562,4,563
563,7,564
564,6,565
565,6,566
566,7,567
567,6,568
568,6,569
569,7,570
570,6,571
571,7,572
572,5,573
573,7,574
574,8,575
575,8,576
576,6,577
577,8,578
578,8,579
579,7,580
580,7,581
581,7,582
582,8,583
583,7,584
584,8,585
585,8,586
586,8,587
587,6,588
588,7,589
589,7,590
590,8,591
591,8,592
592,7,593
593,8,594
594,7,595
595,8,596
596,8,597
597,7,598
598,8,599
599,8,600
600,8,601
601,7,602
602,7,603
603,7,604
604,6,605
605,8,606
606,7,607
607,8,608
608,8,609
609,8,610
610,8,611
611,8,612
612,8,613
613,8,614
614,8,615
615,7,616
616,7,617
617,7,618
618,8,619
619,7,620
620,6,621
621,6,622
622,7,623
623,7,624
624,8,625
625,7,626
626,8,627
627,7,628
628,8,629
629,8,630
630,7,631
631,7,632
632,8,633
633,7,634
634,7,635
635,7,636
636,8,637
637,8,638
638,8,639
639,5,640
640,6,641
641,7,642
642,7,643
643,5,644
644,7,645
645,6,646
646,6,647
647,8,648
648,7,649
649,8,650
650,6,651
651,6,652
652,8,653
653,8,654
654,8,655
655,7,656
