,Problem,Explored,Time
0,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",0,5.3435564041137695e-05
1,"[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",1,0.000596802681684494
2,"[[1, 2, 3], [4, 0, 5], [7, 8, 6]]",2,0.0015448853373527527
3,"[[1, 0, 3], [4, 2, 5], [7, 8, 6]]",3,0.0018922537565231323
4,"[[1, 5, 2], [4, 0, 3], [7, 8, 6]]",4,0.002392902970314026
5,"[[1, 5, 2], [0, 4, 3], [7, 8, 6]]",5,0.00574469193816185
6,"[[1, 5, 2], [4, 8, 3], [7, 6, 0]]",6,0.00631275400519371
7,"[[1, 5, 2], [4, 8, 0], [7, 6, 3]]",7,0.014220718294382095
8,"[[0, 5, 2], [1, 8, 3], [4, 7, 6]]",8,0.014752108603715897
9,"[[1, 0, 2], [8, 5, 3], [4, 7, 6]]",9,0.028391137719154358
10,"[[5, 8, 2], [1, 0, 3], [4, 7, 6]]",10,0.042964134365320206
11,"[[5, 8, 2], [1, 7, 3], [4, 0, 6]]",11,0.06621606275439262
12,"[[5, 8, 2], [1, 7, 3], [0, 4, 6]]",12,0.1576816625893116
13,"[[5, 8, 2], [0, 7, 3], [1, 4, 6]]",13,0.3281604275107384
14,"[[5, 8, 2], [7, 0, 3], [1, 4, 6]]",14,1.4032953903079033
15,"[[8, 0, 2], [5, 7, 3], [1, 4, 6]]",15,2.508287575095892
16,"[[8, 7, 2], [5, 0, 3], [1, 4, 6]]",16,4.265612620860338
17,"[[5, 0, 8], [7, 3, 2], [1, 4, 6]]",17,17.40382743254304
18,"[[8, 7, 2], [5, 4, 3], [1, 6, 0]]",18,23.46135637164116
19,"[[8, 0, 7], [5, 3, 2], [1, 4, 6]]",19,72.0449249483645
20,"[[8, 7, 0], [5, 4, 2], [1, 6, 3]]",20,67.38160208240151
21,"[[8, 0, 7], [5, 4, 2], [1, 6, 3]]",21,242.31426790356636
22,"[[0, 8, 7], [5, 4, 2], [1, 6, 3]]",22,406.28034971281886
23,"[[8, 4, 7], [5, 6, 2], [1, 0, 3]]",23,517.6105833239853
24,"[[8, 4, 7], [5, 6, 2], [1, 3, 0]]",24,809.3100951649249
25,"[[8, 4, 7], [5, 6, 0], [1, 3, 2]]",25,1014.4324698075652
26,"[[0, 4, 7], [8, 6, 2], [5, 1, 3]]",26,1111.3271495811641
27,"[[8, 0, 7], [5, 4, 6], [1, 3, 2]]",27,1224.9639278128743
28,"[[8, 4, 7], [6, 2, 3], [5, 1, 0]]",28,1252.133478358388
29,"[[8, 0, 6], [5, 7, 3], [1, 2, 4]]",29,1259.398200456053
30,"[[0, 8, 7], [5, 6, 4], [1, 2, 3]]",30,1266.4802119024098
31,"[[8, 6, 7], [2, 5, 4], [3, 0, 1]]",31,1261.9799959287047
