,Cost,interations
0,8,0
1,8,1
2,8,2
3,8,3
4,8,4
5,7,5
6,6,6
7,5,7
8,5,8
9,5,9
10,4,10
11,4,11
12,4,12
13,3,13
14,3,14
15,4,15
16,4,16
17,4,17
18,4,18
19,5,19
20,5,20
21,5,21
22,5,22
23,5,23
24,5,24
25,4,25
26,4,26
27,5,27
28,5,28
29,5,29
30,5,30
31,5,31
32,5,32
33,5,33
34,5,34
35,5,35
36,5,36
37,4,37
38,4,38
39,3,39
40,3,40
41,4,41
42,4,42
43,4,43
44,4,44
45,5,45
46,5,46
47,5,47
48,5,48
49,5,49
50,5,50
51,5,51
52,5,52
53,5,53
54,5,54
55,5,55
56,5,56
57,5,57
58,5,58
59,5,59
60,5,60
61,5,61
62,5,62
63,5,63
64,5,64
65,5,65
66,5,66
67,5,67
68,5,68
69,5,69
70,5,70
71,5,71
72,5,72
73,5,73
74,5,74
75,5,75
76,5,76
77,5,77
78,4,78
79,5,79
80,5,80
81,5,81
82,5,82
83,5,83
84,4,84
85,4,85
86,4,86
87,3,87
88,4,88
89,4,89
90,4,90
91,4,91
92,5,92
93,5,93
94,5,94
95,5,95
96,5,96
97,5,97
98,4,98
99,4,99
100,3,100
101,4,101
102,4,102
103,4,103
104,4,104
105,4,105
106,5,106
107,5,107
108,5,108
109,5,109
110,5,110
111,5,111
112,5,112
113,5,113
114,5,114
115,5,115
116,5,116
117,5,117
118,5,118
119,5,119
120,5,120
121,5,121
122,5,122
123,5,123
124,5,124
125,5,125
126,5,126
127,5,127
128,5,128
129,5,129
130,5,130
131,4,131
132,5,132
133,5,133
134,5,134
135,5,135
136,5,136
137,5,137
138,5,138
139,5,139
140,4,140
141,4,141
142,5,142
143,5,143
144,5,144
145,5,145
146,5,146
147,5,147
148,5,148
149,5,149
150,5,150
151,4,151
152,5,152
153,5,153
154,5,154
155,5,155
156,5,156
157,5,157
158,5,158
159,5,159
160,5,160
161,4,161
162,5,162
163,5,163
164,5,164
165,5,165
166,5,166
167,4,167
168,4,168
169,4,169
170,3,170
171,4,171
172,5,172
173,5,173
174,5,174
175,5,175
176,5,176
177,5,177
178,5,178
179,5,179
180,5,180
181,5,181
182,5,182
183,4,183
184,5,184
185,5,185
186,5,186
187,5,187
188,5,188
189,5,189
190,5,190
191,5,191
192,5,192
193,5,193
194,5,194
195,5,195
196,5,196
197,5,197
198,5,198
199,5,199
200,5,200
201,5,201
202,5,202
203,5,203
204,5,204
205,5,205
206,5,206
207,6,207
208,6,208
209,6,209
210,6,210
211,6,211
212,6,212
213,6,213
214,6,214
215,6,215
216,6,216
217,6,217
218,5,218
219,5,219
220,5,220
221,4,221
222,5,222
223,5,223
224,5,224
225,5,225
226,5,226
227,5,227
228,6,228
229,6,229
230,6,230
231,6,231
232,6,232
233,6,233
234,6,234
235,6,235
236,6,236
237,6,237
238,5,238
239,6,239
240,5,240
241,5,241
242,4,242
243,5,243
244,5,244
245,5,245
246,5,246
247,6,247
248,5,248
249,4,249
250,3,250
251,4,251
252,4,252
253,4,253
254,3,254
255,4,255
256,5,256
257,4,257
258,5,258
259,5,259
260,5,260
261,5,261
262,5,262
263,5,263
264,5,264
265,5,265
266,4,266
267,5,267
268,4,268
269,5,269
270,4,270
271,5,271
272,4,272
273,3,273
274,4,274
275,4,275
276,5,276
277,5,277
278,5,278
279,5,279
280,5,280
281,5,281
282,5,282
283,4,283
284,5,284
285,5,285
286,4,286
287,3,287
288,4,288
289,4,289
290,5,290
291,5,291
292,5,292
293,4,293
294,5,294
295,4,295
296,5,296
297,5,297
298,5,298
299,5,299
300,5,300
301,4,301
302,4,302
303,3,303
304,4,304
305,3,305
306,4,306
307,4,307
308,4,308
309,4,309
310,3,310
311,4,311
312,4,312
313,4,313
314,3,314
315,4,315
316,4,316
317,5,317
318,4,318
319,5,319
320,4,320
321,5,321
322,5,322
323,5,323
324,5,324
325,5,325
326,5,326
327,5,327
328,5,328
329,4,329
330,5,330
331,4,331
332,4,332
333,3,333
334,4,334
335,4,335
336,4,336
337,4,337
338,5,338
339,5,339
340,5,340
341,5,341
342,5,342
343,5,343
344,5,344
345,4,345
346,5,346
347,5,347
348,5,348
349,5,349
350,5,350
351,4,351
352,5,352
353,5,353
354,5,354
355,5,355
356,4,356
357,5,357
358,5,358
359,5,359
360,5,360
361,5,361
362,5,362
363,4,363
364,5,364
365,5,365
366,5,366
367,5,367
368,5,368
369,5,369
370,5,370
371,4,371
372,5,372
373,5,373
374,5,374
375,4,375
376,5,376
377,5,377
378,5,378
379,5,379
380,5,380
381,5,381
382,5,382
383,5,383
384,5,384
385,4,385
386,3,386
387,4,387
388,3,388
389,4,389
390,4,390
391,4,391
392,4,392
393,4,393
394,3,394
395,4,395
396,4,396
397,4,397
398,3,398
399,4,399
400,4,400
401,5,401
402,5,402
403,5,403
404,5,404
405,5,405
406,4,406
407,5,407
408,5,408
409,5,409
410,5,410
411,5,411
412,5,412
413,5,413
414,5,414
415,5,415
416,5,416
417,5,417
418,4,418
419,5,419
420,5,420
421,5,421
422,5,422
423,5,423
424,5,424
425,5,425
426,5,426
427,5,427
428,4,428
429,5,429
430,5,430
431,5,431
432,4,432
433,5,433
434,5,434
435,4,435
436,3,436
437,3,437
438,2,438
439,3,439
440,4,440
