,Problem,Explored,Time
0,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",0,0.0004932135343551636
1,"[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",1,0.0007615014910697937
2,"[[1, 2, 3], [4, 0, 5], [7, 8, 6]]",2,0.001236606389284134
3,"[[1, 0, 3], [4, 2, 5], [7, 8, 6]]",3,0.001428302377462387
4,"[[1, 5, 2], [4, 0, 3], [7, 8, 6]]",4,0.00134383887052536
5,"[[1, 5, 2], [0, 4, 3], [7, 8, 6]]",5,0.0020338185131549835
6,"[[1, 5, 2], [4, 8, 3], [7, 6, 0]]",6,0.0016870498657226562
7,"[[1, 5, 2], [4, 8, 0], [7, 6, 3]]",7,0.0020645037293434143
8,"[[0, 5, 2], [1, 8, 3], [4, 7, 6]]",8,0.0023033693432807922
9,"[[1, 0, 2], [8, 5, 3], [4, 7, 6]]",0,0.0010492503643035889
10,"[[5, 8, 2], [1, 0, 3], [4, 7, 6]]",10,0.0025271177291870117
11,"[[5, 8, 2], [1, 7, 3], [4, 0, 6]]",11,0.002759914845228195
12,"[[5, 8, 2], [1, 7, 3], [0, 4, 6]]",12,0.0026622265577316284
13,"[[5, 8, 2], [0, 7, 3], [1, 4, 6]]",0,0.00047023966908454895
14,"[[5, 8, 2], [7, 0, 3], [1, 4, 6]]",0,0.001104447990655899
15,"[[8, 0, 2], [5, 7, 3], [1, 4, 6]]",0,0.0007558539509773254
16,"[[8, 7, 2], [5, 0, 3], [1, 4, 6]]",0,0.0007641352713108063
17,"[[5, 0, 8], [7, 3, 2], [1, 4, 6]]",0,0.0012369528412818909
18,"[[8, 7, 2], [5, 4, 3], [1, 6, 0]]",0,0.0007898807525634766
19,"[[8, 0, 7], [5, 3, 2], [1, 4, 6]]",0,0.0007809996604919434
20,"[[8, 7, 0], [5, 4, 2], [1, 6, 3]]",0,0.0012444965541362762
21,"[[8, 0, 7], [5, 4, 2], [1, 6, 3]]",0,0.000544421374797821
22,"[[0, 8, 7], [5, 4, 2], [1, 6, 3]]",0,0.00032817572355270386
23,"[[8, 4, 7], [5, 6, 2], [1, 0, 3]]",0,0.0004894845187664032
24,"[[8, 4, 7], [5, 6, 2], [1, 3, 0]]",0,0.0008685700595378876
25,"[[8, 4, 7], [5, 6, 0], [1, 3, 2]]",0,0.0006219521164894104
26,"[[0, 4, 7], [8, 6, 2], [5, 1, 3]]",0,0.0015766769647598267
27,"[[8, 0, 7], [5, 4, 6], [1, 3, 2]]",0,0.0007477700710296631
28,"[[8, 4, 7], [6, 2, 3], [5, 1, 0]]",0,0.00034497305750846863
29,"[[8, 0, 6], [5, 7, 3], [1, 2, 4]]",0,0.0007018297910690308
30,"[[0, 8, 7], [5, 6, 4], [1, 2, 3]]",0,0.0004114806652069092
31,"[[8, 6, 7], [2, 5, 4], [3, 0, 1]]",0,0.0007305555045604706
