,Cost,interations
0,8,0
1,8,1
2,8,2
3,7,3
4,7,4
5,7,5
6,6,6
7,6,7
8,7,8
9,7,9
10,7,10
11,8,11
12,8,12
13,8,13
14,8,14
15,8,15
16,8,16
17,8,17
18,8,18
19,7,19
20,7,20
21,7,21
22,7,22
23,7,23
24,7,24
25,7,25
26,8,26
27,8,27
28,7,28
29,7,29
30,7,30
31,6,31
32,6,32
33,7,33
34,7,34
35,7,35
36,7,36
37,7,37
38,7,38
39,7,39
40,7,40
41,7,41
42,6,42
43,8,43
44,8,44
45,7,45
46,7,46
47,7,47
48,7,48
49,7,49
50,7,50
51,7,51
52,8,52
53,8,53
54,7,54
55,7,55
56,7,56
57,7,57
58,7,58
59,8,59
60,8,60
61,6,61
62,6,62
63,7,63
64,7,64
65,7,65
66,8,66
67,8,67
68,7,68
69,7,69
70,7,70
71,6,71
72,6,72
73,7,73
74,7,74
75,7,75
76,7,76
77,7,77
78,7,78
79,7,79
80,7,80
81,7,81
82,7,82
83,7,83
84,7,84
85,7,85
86,8,86
87,8,87
88,8,88
89,8,89
90,8,90
91,7,91
92,7,92
93,8,93
94,7,94
95,7,95
96,7,96
97,6,97
98,7,98
99,7,99
100,6,100
101,7,101
102,7,102
103,6,103
104,7,104
105,7,105
106,8,106
107,6,107
108,7,108
109,6,109
110,5,110
111,6,111
112,6,112
113,6,113
114,7,114
115,7,115
116,6,116
117,7,117
118,6,118
119,6,119
120,6,120
121,7,121
122,7,122
123,6,123
124,6,124
125,7,125
126,7,126
127,5,127
128,5,128
129,5,129
130,6,130
131,6,131
132,6,132
133,6,133
134,7,134
135,7,135
136,7,136
137,7,137
138,7,138
139,6,139
140,6,140
141,7,141
142,7,142
143,7,143
144,5,144
145,4,145
146,5,146
147,5,147
148,5,148
149,7,149
150,7,150
151,7,151
152,8,152
153,6,153
154,7,154
155,6,155
156,5,156
157,6,157
158,6,158
159,5,159
160,6,160
161,6,161
162,5,162
163,6,163
164,6,164
165,5,165
166,6,166
167,6,167
168,6,168
169,6,169
170,7,170
171,7,171
172,7,172
173,7,173
174,6,174
175,7,175
176,7,176
177,6,177
178,6,178
179,7,179
180,7,180
181,6,181
182,6,182
183,5,183
184,7,184
185,6,185
186,7,186
187,7,187
188,7,188
189,8,189
190,8,190
191,7,191
192,7,192
193,6,193
194,7,194
195,6,195
196,6,196
197,6,197
198,6,198
199,5,199
200,6,200
201,6,201
202,6,202
203,7,203
204,7,204
205,6,205
206,7,206
207,7,207
208,6,208
209,7,209
210,7,210
211,7,211
212,8,212
213,7,213
214,7,214
215,7,215
216,7,216
217,7,217
218,8,218
219,8,219
220,8,220
221,8,221
222,7,222
223,7,223
224,7,224
225,7,225
226,7,226
227,7,227
228,7,228
229,7,229
230,7,230
231,7,231
232,8,232
233,8,233
234,7,234
235,6,235
236,6,236
237,7,237
238,7,238
239,7,239
240,7,240
241,6,241
242,6,242
243,7,243
244,7,244
245,6,245
246,7,246
247,8,247
248,8,248
249,8,249
250,8,250
251,8,251
252,8,252
253,8,253
254,8,254
255,8,255
256,8,256
257,8,257
258,8,258
259,8,259
260,8,260
261,8,261
262,8,262
263,8,263
264,8,264
265,8,265
266,8,266
267,8,267
268,7,268
269,7,269
270,8,270
271,8,271
272,7,272
273,8,273
274,8,274
275,7,275
276,7,276
277,7,277
278,7,278
279,7,279
280,8,280
281,7,281
282,7,282
283,8,283
284,8,284
285,8,285
286,8,286
287,8,287
288,7,288
289,8,289
290,8,290
291,8,291
292,8,292
293,8,293
294,8,294
295,8,295
296,8,296
297,8,297
298,8,298
299,8,299
300,8,300
301,8,301
302,8,302
303,8,303
304,8,304
305,8,305
306,7,306
307,7,307
308,7,308
309,7,309
310,7,310
311,8,311
312,8,312
313,8,313
314,8,314
315,8,315
316,8,316
317,8,317
318,7,318
319,8,319
320,8,320
321,8,321
322,8,322
323,8,323
324,7,324
325,8,325
326,8,326
327,8,327
328,8,328
329,8,329
330,8,330
331,8,331
332,8,332
333,7,333
334,7,334
335,7,335
336,8,336
337,8,337
338,8,338
339,8,339
340,8,340
341,8,341
342,8,342
343,8,343
344,8,344
345,8,345
346,8,346
347,8,347
348,8,348
349,8,349
350,7,350
351,6,351
352,7,352
353,7,353
354,7,354
355,8,355
356,8,356
357,8,357
358,8,358
359,8,359
360,8,360
361,8,361
362,8,362
363,8,363
364,8,364
365,7,365
366,7,366
367,8,367
368,8,368
369,8,369
370,8,370
371,7,371
372,8,372
373,8,373
374,7,374
375,7,375
376,7,376
377,8,377
378,7,378
379,6,379
380,7,380
381,7,381
382,6,382
383,5,383
384,6,384
385,7,385
386,7,386
387,7,387
388,8,388
389,6,389
390,6,390
391,6,391
392,6,392
393,7,393
394,8,394
395,7,395
396,7,396
397,6,397
398,6,398
399,7,399
400,7,400
401,7,401
402,8,402
403,8,403
404,8,404
405,8,405
406,7,406
407,8,407
408,8,408
409,6,409
410,7,410
411,7,411
412,8,412
413,7,413
414,7,414
415,6,415
416,6,416
417,6,417
418,6,418
419,5,419
420,4,420
421,5,421
422,5,422
423,4,423
424,8,424
425,8,425
426,8,426
427,8,427
428,8,428
429,8,429
430,7,430
431,7,431
432,7,432
433,7,433
434,7,434
435,8,435
436,7,436
437,6,437
438,7,438
439,7,439
440,7,440
