,Problem,Explored,Time
0,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",0,0.00023907795548439026
1,"[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",1,0.0005062632262706757
2,"[[1, 2, 3], [4, 0, 5], [7, 8, 6]]",2,0.0007725432515144348
3,"[[1, 0, 3], [4, 2, 5], [7, 8, 6]]",3,0.0035020150244235992
4,"[[1, 5, 2], [4, 0, 3], [7, 8, 6]]",4,0.006829984486103058
5,"[[1, 5, 2], [0, 4, 3], [7, 8, 6]]",5,0.007768876850605011
6,"[[1, 5, 2], [4, 8, 3], [7, 6, 0]]",6,0.008438203483819962
7,"[[1, 5, 2], [4, 8, 0], [7, 6, 3]]",7,0.02430630847811699
8,"[[0, 5, 2], [1, 8, 3], [4, 7, 6]]",8,0.03721078485250473
9,"[[1, 0, 2], [8, 5, 3], [4, 7, 6]]",9,0.04170121252536774
10,"[[5, 8, 2], [1, 0, 3], [4, 7, 6]]",22,4.164129752665758
11,"[[5, 8, 2], [1, 7, 3], [4, 0, 6]]",11,0.13334060832858086
12,"[[5, 8, 2], [1, 7, 3], [0, 4, 6]]",12,0.1555958054959774
13,"[[5, 8, 2], [0, 7, 3], [1, 4, 6]]",13,0.33104610070586205
14,"[[5, 8, 2], [7, 0, 3], [1, 4, 6]]",14,0.4271281249821186
15,"[[8, 0, 2], [5, 7, 3], [1, 4, 6]]",15,0.7486004754900932
16,"[[8, 7, 2], [5, 0, 3], [1, 4, 6]]",28,21.725232798606157
17,"[[5, 0, 8], [7, 3, 2], [1, 4, 6]]",17,0.797992330044508
18,"[[8, 7, 2], [5, 4, 3], [1, 6, 0]]",1,28.10874868556857
19,"[[8, 0, 7], [5, 3, 2], [1, 4, 6]]",27,11.15220321714878
20,"[[8, 7, 0], [5, 4, 2], [1, 6, 3]]",26,19.029459811747074
21,"[[8, 0, 7], [5, 4, 2], [1, 6, 3]]",25,16.29108138382435
22,"[[0, 8, 7], [5, 4, 2], [1, 6, 3]]",26,22.3213283829391
23,"[[8, 4, 7], [5, 6, 2], [1, 0, 3]]",1,31.27738643437624
24,"[[8, 4, 7], [5, 6, 2], [1, 3, 0]]",24,5.055998429656029
25,"[[8, 4, 7], [5, 6, 0], [1, 3, 2]]",1,28.187518384307623
26,"[[0, 4, 7], [8, 6, 2], [5, 1, 3]]",1,32.9831962287426
27,"[[8, 0, 7], [5, 4, 6], [1, 3, 2]]",1,29.390464164316654
28,"[[8, 4, 7], [6, 2, 3], [5, 1, 0]]",1,28.419944155961275
29,"[[8, 0, 6], [5, 7, 3], [1, 2, 4]]",1,29.367115329951048
30,"[[0, 8, 7], [5, 6, 4], [1, 2, 3]]",1,32.90345399081707
31,"[[8, 6, 7], [2, 5, 4], [3, 0, 1]]",1,31.226542122662067
