,Problem,Explored,Time
0,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",0,0.008779563009738922
1,"[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",1,0.00046551600098609924
2,"[[1, 2, 3], [4, 0, 5], [7, 8, 6]]",2,0.0015166737139225006
3,"[[1, 0, 3], [4, 2, 5], [7, 8, 6]]",3,0.0037388019263744354
4,"[[1, 5, 2], [4, 0, 3], [7, 8, 6]]",4,0.007991861552000046
5,"[[1, 5, 2], [0, 4, 3], [7, 8, 6]]",5,0.006245456635951996
6,"[[1, 5, 2], [4, 8, 3], [7, 6, 0]]",6,0.008406825363636017
7,"[[1, 5, 2], [4, 8, 0], [7, 6, 3]]",7,0.02025403454899788
8,"[[0, 5, 2], [1, 8, 3], [4, 7, 6]]",8,0.01988856866955757
9,"[[1, 0, 2], [8, 5, 3], [4, 7, 6]]",9,0.03618926554918289
10,"[[5, 8, 2], [1, 0, 3], [4, 7, 6]]",10,0.06024639308452606
11,"[[5, 8, 2], [1, 7, 3], [4, 0, 6]]",11,0.10038890689611435
12,"[[5, 8, 2], [1, 7, 3], [0, 4, 6]]",12,0.1472228839993477
13,"[[5, 8, 2], [0, 7, 3], [1, 4, 6]]",13,0.24140817299485207
14,"[[5, 8, 2], [7, 0, 3], [1, 4, 6]]",14,0.47656669095158577
15,"[[8, 0, 2], [5, 7, 3], [1, 4, 6]]",15,0.6625376157462597
16,"[[8, 7, 2], [5, 0, 3], [1, 4, 6]]",16,1.2760077007114887
17,"[[5, 0, 8], [7, 3, 2], [1, 4, 6]]",17,1.8504243344068527
18,"[[8, 7, 2], [5, 4, 3], [1, 6, 0]]",18,2.905879594385624
19,"[[8, 0, 7], [5, 3, 2], [1, 4, 6]]",19,4.522090721875429
20,"[[8, 7, 0], [5, 4, 2], [1, 6, 3]]",20,4.858641020953655
21,"[[8, 0, 7], [5, 4, 2], [1, 6, 3]]",21,7.989346299320459
22,"[[0, 8, 7], [5, 4, 2], [1, 6, 3]]",22,10.399255521595478
23,"[[8, 4, 7], [5, 6, 2], [1, 0, 3]]",23,14.244627635926008
24,"[[8, 4, 7], [5, 6, 2], [1, 3, 0]]",24,14.373781725764275
25,"[[8, 4, 7], [5, 6, 0], [1, 3, 2]]",25,18.58467337489128
26,"[[0, 4, 7], [8, 6, 2], [5, 1, 3]]",26,19.180121816694736
27,"[[8, 0, 7], [5, 4, 6], [1, 3, 2]]",27,21.904921263456345
28,"[[8, 4, 7], [6, 2, 3], [5, 1, 0]]",28,21.730798669159412
29,"[[8, 0, 6], [5, 7, 3], [1, 2, 4]]",29,21.738560780882835
30,"[[0, 8, 7], [5, 6, 4], [1, 2, 3]]",30,22.33230784535408
31,"[[8, 6, 7], [2, 5, 4], [3, 0, 1]]",31,22.115617405623198
